CODAGENCIA;NOMAGENCIA;CLUSTER;GASTOS_PROMEDIOREDONDEO;GASTOS_SUMAAJUSTADA;GASTOS_IMPORTEABC;NUEVO_GASTOS_CARGOCUENTAINGRESO_CANTIDAD;PENDIENTES_15DIAS_CANTIDAD;PENDIENTES_15DIAS_IMPORTE;PENDIENTES_FALTANTE_CANTIDAD;PENDIENTES_FALTANTE_IMPORTE;PENDIENTES_ANOMALIA_CANTIDAD;PENDIENTES_ANOMALIA_IMPORTE;PENDIENTES_FINSEMANA_NORMAL_CANTIDAD;PENDIENTES_FINSEMANA_IMPORTE;PENDIENTES_RULETEO_CANTIDAD;PENDIENTES_MENORPROMEDIO_CANTIDAD;PENDIENTES_MENORPROMEDIO_IMPORTE;NUEVO_PENDIENTES_FUERAOFICINA_CANTIDAD;NUEVO_PENDIENTES_SALIDAEFECTO_CANTIDAD;NUEVO_PENDIENTES_FINSEMANA_CANTIDAD;PENDIENTES_RARA_CANTIDAD;TIPOCAMBIO_IMPORTEDOLAR;DEUDA_PERDIDA_GCOMERCIAL;DEUDA_DEFICIENTE_GCOMERCIAL;DEUDA_DUDOSO_GCOMERCIAL;DEUDA_PERDIDA_GOPERATIVO;DEUDA_DEFICIENTE_GOPERATIVO;DEUDA_DUDOSO_GOPERATIVO;DEUDA_PERDIDA_GCONTROL;DEUDA_DEFICIENTE_GCONTROL;DEUDA_DUDOSO_GCONTROL;DIFERENCIACAJA_CANTIDAD;DIFERENCIACAJA_IMPORTE;MATRICULAINACTIVA_OPERACION_CANTIDAD;VACACIONESNEGRAS_CONEXION_CANTIDAD;VACACIONESNEGRAS_VISTOBUENO_CANTIDAD;ANOEXPERIENCIA_GCOMERCIAL;ANOEXPERIENCIA_GOPERATIVO;ANOEXPERIENCIA_GCONTROL;ROTACION_RATIO_PERSONAL;FRAUDE_CANTIDAD
305004;AG. REAL PLAZA CHICLAYO;0;0.0;0.0;0.0;0.0;5.0;2370.0;0.0;0.0;15.0;1156.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;5436.0;0.052631579;0.0
305006;AG. LEONARDO ORTIZ;0;0.0;0.0;0.0;0.0;5.0;1600.0;0.0;0.0;21.0;1239.1;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9822.0;0.080128205;0.0
310003;AG. NUEVO CHIMBOTE;0;0.0;150.0;0.0;3.0;8.0;3120.0;0.0;0.0;15.0;1580.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;7411.0;0.054580897;0.0
345000;HUAMACHUCO BANCA DE SERVICIO;0;0.0;0.0;283.333333;0.0;6.0;1320.0;0.0;0.0;20.0;1095.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;7717.0;0.108974359;0.0
385001;AG. TOWN SITE;0;0.0;0.0;0.0;0.0;2.0;424.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;0.0;0.0;0.0;314.0;0.0;0.0
390000;AG. IQUITOS BANCA DE SERVICIO;0;0.0;0.0;477.8;0.0;13.0;1810.0;0.0;0.0;27.0;1963.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;5132006.6;0.0;0.0;3.0;0.0;0.0;10233.0;0.060098522;3.0
390001;AG.BELEN (IQUITOS);0;0.0;30.0;0.0;2.0;8.0;2620.0;0.0;0.0;6.0;800.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1510.0;0.126373626;0.0
400000;AG. JAUJA BCA SERV.;0;0.0;0.0;400.0;0.0;3.0;110.0;0.0;0.0;12.0;4885883.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;0.0;0.0;4005.0;0.0;0.0
401000;AG. PICHANAKI;0;0.0;0.0;410.0;1.0;11.0;3920.0;0.0;0.0;1.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4606.0;0.136363636;0.0
405000;AG. JULIACA BANCA DE SERVICIO;0;0.0;0.0;292.906666;2.0;11.0;3956.0;0.0;0.0;155.0;7310.6;0.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.0;183300519.6;0.0;8.0;0.0;0.0;0.0;7268.0;0.066991101;3.0
